DEPO_CODE|SKU|NOP|SYS_DATE|SYSTEM|SYS_DATE1|Y
002|F000830991020000|1|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000910000020000|1|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000980991000500|248|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000980991001000|168|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000980991004000|35|31/03/2021|SYSTEM|31/03/2021|Y|
002|F001780991004000|21|31/03/2021|SYSTEM|31/03/2021|Y|
002|F001780991020000|8|31/03/2021|SYSTEM|31/03/2021|Y|
002|F001800991001000|64|31/03/2021|SYSTEM|31/03/2021|Y|
002|F001800991003600|1|31/03/2021|SYSTEM|31/03/2021|Y|
002|F001800991004000|132|31/03/2021|SYSTEM|31/03/2021|Y|
002|F001800991020000|28|31/03/2021|SYSTEM|31/03/2021|Y|
002|F001810991004000|88|31/03/2021|SYSTEM|31/03/2021|Y|
002|F001810991020000|15|31/03/2021|SYSTEM|31/03/2021|Y|
002|F001890000001000|42|31/03/2021|SYSTEM|31/03/2021|Y|
002|F001890000010000|23|31/03/2021|SYSTEM|31/03/2021|Y|
002|F001890000020000|1|31/03/2021|SYSTEM|31/03/2021|Y|
002|F001980991000900|47|31/03/2021|SYSTEM|31/03/2021|Y|
002|F001980991003600|56|31/03/2021|SYSTEM|31/03/2021|Y|
002|F001980991009000|13|31/03/2021|SYSTEM|31/03/2021|Y|
002|F001980991020000|12|31/03/2021|SYSTEM|31/03/2021|Y|
002|F002730GA0001000|52|31/03/2021|SYSTEM|31/03/2021|Y|
002|F002730GA1001000|67|31/03/2021|SYSTEM|31/03/2021|Y|
002|F002730GA2001000|40|31/03/2021|SYSTEM|31/03/2021|Y|
002|F002730GA3001000|47|31/03/2021|SYSTEM|31/03/2021|Y|
002|F002730GA4001000|68|31/03/2021|SYSTEM|31/03/2021|Y|
002|F002740GA5001000|64|31/03/2021|SYSTEM|31/03/2021|Y|
002|F002740GA6001000|56|31/03/2021|SYSTEM|31/03/2021|Y|
002|F002740GA7001000|36|31/03/2021|SYSTEM|31/03/2021|Y|
